vendor_name,normalized,aggressive_normalized,invoice_count
OUT LOOP ID,OUT LOOP ID,OUT LOOP ID,1
All Florida Scrap Metals,ALL FLORIDA SCRAP METALS,ALL FLORIDA SCRAP METALS,1
Great Waste and Recycling,GREAT WASTE AND RECYCLING,GREAT WASTE AND RECYCLING,1
All Florida Scrap,ALL FLORIDA SCRAP,ALL FLORIDA SCRAP,1
"Great Waste Service, LLC","GREAT WASTE SERVICE, LLC",GREAT WASTE SERVICE,1
Wright Way Transit LLC,WRIGHT WAY TRANSIT LLC,WRIGHT WAY TRANSIT,1
Great Waste and Recycling Services LLC,GREAT WASTE AND RECYCLING SERVICES LLC,GREAT WASTE AND RECYCLING SERVICES,1
"BROS., INC.","BROS., INC.",BROS,1
Dirty Boyz Waste,DIRTY BOYZ WASTE,DIRTY BOYZ WASTE,1
Total Recycling and Waste Solutions,TOTAL RECYCLING AND WASTE SOLUTIONS,TOTAL RECYCLING AND WASTE SOLUTIONS,1
Total Recycling Waste,TOTAL RECYCLING WASTE,TOTAL RECYCLING WASTE,1
Orlando Hauling,ORLANDO HAULING,ORLANDO HAULING,1
Envial Services,ENVIAL SERVICES,ENVIAL SERVICES,1
WASTE PRO 0121 - Waste Pro,WASTE PRO 0121 - WASTE PRO,WASTE PRO 0121 WASTE PRO,1
JUNK KING a neighbor,JUNK KING A NEIGHBOR,JUNK KING A NEIGHBOR,1
JUNK KING a neighborly,JUNK KING A NEIGHBORLY,JUNK KING A NEIGHBORLY,1
City of Tam,CITY OF TAM,CITY OF TAM,1
City of Tampa Bay,CITY OF TAMPA BAY,CITY OF TAMPA BAY,1
ORGANIZED,ORGANIZED,ORGANIZED,1
G Revolution,G REVOLUTION,G REVOLUTION,1
Marathon Equipment Co.,MARATHON EQUIPMENT CO.,MARATHON EQUIPMENT,1
CITY OF CARTERSVILLE,CITY OF CARTERSVILLE,CITY OF CARTERSVILLE,1
County of DeKalb,COUNTY OF DEKALB,COUNTY OF DEKALB,1
Dekalb County GA,DEKALB COUNTY GA,DEKALB COUNTY GA,1
City of SnellvillePublic Works Department,CITY OF SNELLVILLEPUBLIC WORKS DEPARTMENT,CITY OF SNELLVILLEPUBLIC WORKS DEPARTMENT,1
Waste Pro - Athens,WASTE PRO - ATHENS,WASTE PRO ATHENS,1
Johnson Enterpr\nI,JOHNSON ENTERPR\NI,JOHNSON ENTERPR NI,1
"Johnson Enterprises, Inc","JOHNSON ENTERPRISES, INC",JOHNSON ENTERPRISES,1
Ticket # TQUDCE,TICKET # TQUDCE,TICKET TQUDCE,1
North Georgia Dumpsters,NORTH GEORGIA DUMPSTERS,NORTH GEORGIA DUMPSTERS,1
A Athens Services,A ATHENS SERVICES,A ATHENS SERVICES,1
Cartersville,CARTERSVILLE,CARTERSVILLE,1
GENTLE GIANT MOVING COMPANY,GENTLE GIANT MOVING COMPANY,GENTLE GIANT MOVING COMPANY,1
Reddy Rentals Inc.,REDDY RENTALS INC.,REDDY RENTALS,1
MILLS BROS. BARBOURVILLE,MILLS BROS. BARBOURVILLE,MILLS BROS BARBOURVILLE,1
City of Baxley,CITY OF BAXLEY,CITY OF BAXLEY,1
CITY OF RAXLEY,CITY OF RAXLEY,CITY OF RAXLEY,1
Allgreen,ALLGREEN,ALLGREEN,1
DP Joyner Industrial LLC,DP JOYNER INDUSTRIAL LLC,DP JOYNER INDUSTRIAL,1
Shredding,SHREDDING,SHREDDING,1
Greenway Shredding,GREENWAY SHREDDING,GREENWAY SHREDDING,1
"WISE CHOICE DISPOSAL, LLC","WISE CHOICE DISPOSAL, LLC",WISE CHOICE DISPOSAL,1
Bluegrass Junk,BLUEGRASS JUNK,BLUEGRASS JUNK,1
LAUREL RIDGE LF,LAUREL RIDGE LF,LAUREL RIDGE LF,1
Waste Connections Laurel Ridge Landfill,WASTE CONNECTIONS LAUREL RIDGE LANDFILL,WASTE CONNECTIONS LAUREL RIDGE LANDFILL,1
Advance Macine & Hydraulic,ADVANCE MACINE & HYDRAULIC,ADVANCE MACINE HYDRAULIC,1
ADVANCE MACHINE & HYDRAULIC 64,ADVANCE MACHINE & HYDRAULIC 64,ADVANCE MACHINE HYDRAULIC 64,1
City of Somerset Water,CITY OF SOMERSET WATER,CITY OF SOMERSET WATER,1
Nelson County Solid Waste Disposal Facility,NELSON COUNTY SOLID WASTE DISPOSAL FACILITY,NELSON COUNTY SOLID WASTE DISPOSAL FACILITY,1
Scott Wase Services,SCOTT WASE SERVICES,SCOTT WASE SERVICES,1
Hopkinsville Solid Waste Enterprise,HOPKINSVILLE SOLID WASTE ENTERPRISE,HOPKINSVILLE SOLID WASTE ENTERPRISE,1
Anyytime,ANYYTIME,ANYYTIME,1
MURRAY,MURRAY,MURRAY,1
MURRAY TRANSFER STATION,MURRAY TRANSFER STATION,MURRAY TRANSFER STATION,1
"WEST VIRGINIA CASHIN RECYCLABLES, INC.","WEST VIRGINIA CASHIN RECYCLABLES, INC.",WEST VIRGINIA CASHIN RECYCLABLES,1
RIVER\nPARISH,RIVER\NPARISH,RIVER NPARISH,1
Ace Container - WP,ACE CONTAINER - WP,ACE CONTAINER WP,1
Express Entity LLC,EXPRESS ENTITY LLC,EXPRESS ENTITY,1
- FRONTLOAD,- FRONTLOAD,FRONTLOAD,1
Laurel Ridge Landfill,LAUREL RIDGE LANDFILL,LAUREL RIDGE LANDFILL,1
SMS TIRE PROCESSING,SMS TIRE PROCESSING,SMS TIRE PROCESSING,1
HAMPTON INN OMAHA DOWNTOWN,HAMPTON INN OMAHA DOWNTOWN,HAMPTON INN OMAHA DOWNTOWN,1
Hononlulu Disposal,HONONLULU DISPOSAL,HONONLULU DISPOSAL,1
HONOLULU,HONOLULU,HONOLULU,1
JM Hauling,JM HAULING,JM HAULING,1
Ace Wa,ACE WA,ACE WA,1
Marathon Equipment,MARATHON EQUIPMENT,MARATHON EQUIPMENT,1
"ELIABLE PAPER ECYCLING, INC.","ELIABLE PAPER ECYCLING, INC.",ELIABLE PAPER ECYCLING,1
"RELIABLE PAPERECYCLING, INC.","RELIABLE PAPERECYCLING, INC.",RELIABLE PAPERECYCLING,1
RECOLOGY SOUTH BAY,RECOLOGY SOUTH BAY,RECOLOGY SOUTH BAY,1
MALCOM ENTERPRISES/SANITATION RESOURCES,MALCOM ENTERPRISES/SANITATION RESOURCES,MALCOM ENTERPRISES SANITATION RESOURCES,1
DENISON DISPOSAL SERVICE,DENISON DISPOSAL SERVICE,DENISON DISPOSAL SERVICE,1
BI-COUNTYDisposal Inc.,BI-COUNTYDISPOSAL INC.,BI COUNTYDISPOSAL,1
Hauler Information MOLER SANITATION,HAULER INFORMATION MOLER SANITATION,HAULER INFORMATION MOLER SANITATION,1
& RECYCLING,& RECYCLING,RECYCLING,1
SANITATION & RECYCLING,SANITATION & RECYCLING,SANITATION RECYCLING,1
SANITATION\n& RECYCLING,SANITATION\N& RECYCLING,SANITATION N RECYCLING,1
City of Garden City,CITY OF GARDEN CITY,CITY OF GARDEN CITY,1
CITY OF VISTON CITY OF LEWISTON,CITY OF VISTON CITY OF LEWISTON,CITY OF VISTON CITY OF LEWISTON,1
CITY OF WISTON,CITY OF WISTON,CITY OF WISTON,1
Lewiston,LEWISTON,LEWISTON,1
CITY OF POST FALLS,CITY OF POST FALLS,CITY OF POST FALLS,1
City of Post Falls,CITY OF POST FALLS,CITY OF POST FALLS,1
Coeur d' Alene,COEUR D' ALENE,COEUR D ALENE,1
Coeur d'Alene,COEUR D'ALENE,COEUR D ALENE,1
Cour d' Alene Garbage,COUR D' ALENE GARBAGE,COUR D ALENE GARBAGE,1
Kooenai County Solid Waste,KOOENAI COUNTY SOLID WASTE,KOOENAI COUNTY SOLID WASTE,1
POST FALLS,POST FALLS,POST FALLS,1
A KAT,A KAT,A KAT,1
CPM Recycling,CPM RECYCLING,CPM RECYCLING,1
CRANE ROLL OFF & DISPOSAL SERVICES,CRANE ROLL OFF & DISPOSAL SERVICES,CRANE ROLL OFF DISPOSAL SERVICES,1
CRANE ROLL-OFF SERVICE,CRANE ROLL-OFF SERVICE,CRANE ROLL OFF SERVICE,1
AKAT INC.,AKAT INC.,AKAT,1
Becker Scrap Management Solutions,BECKER SCRAP MANAGEMENT SOLUTIONS,BECKER SCRAP MANAGEMENT SOLUTIONS,1
"BULLDOG SYSTEMS, LLC","BULLDOG SYSTEMS, LLC",BULLDOG SYSTEMS,1
All America Disposal,ALL AMERICA DISPOSAL,ALL AMERICA DISPOSAL,1
WASTE CONNECTIONS ROCK RIVER DISPOSAL SERVICES,WASTE CONNECTIONS ROCK RIVER DISPOSAL SERVICES,WASTE CONNECTIONS ROCK RIVER DISPOSAL SERVICES,1
TWO MEN AND A\nJUNK,TWO MEN AND A\NJUNK,TWO MEN AND A NJUNK,1
TWO MEN AND A\nJUNK\nTRUCK,TWO MEN AND A\NJUNK\NTRUCK,TWO MEN AND A NJUNK NTRUCK,1
Waste Manaagement,WASTE MANAAGEMENT,WASTE MANAAGEMENT,1
Waste Mangement,WASTE MANGEMENT,WASTE MANGEMENT,1
Prolex Compacting,PROLEX COMPACTING,PROLEX COMPACTING,1
"WM LAMPTRACKER, INC.","WM LAMPTRACKER, INC.",WM LAMPTRACKER,1
PROLEX,PROLEX,PROLEX,1
ELITE DUMPSTER RENTAL,ELITE DUMPSTER RENTAL,ELITE DUMPSTER RENTAL,1
Washler Garba,WASHLER GARBA,WASHLER GARBA,1
Washler Garbage,WASHLER GARBAGE,WASHLER GARBAGE,1
Washler Garbage and,WASHLER GARBAGE AND,WASHLER GARBAGE AND,1
Washler Garbage and Recycling,WASHLER GARBAGE AND RECYCLING,WASHLER GARBAGE AND RECYCLING,1
Big's,BIG'S,BIG S,1
BIGS Sanitation,BIGS SANITATION,BIGS SANITATION,1
Bigs Sanitation,BIGS SANITATION,BIGS SANITATION,1
Bits Sanitation,BITS SANITATION,BITS SANITATION,1
Blu's,BLU'S,BLU S,1
RED OAK,RED OAK,RED OAK,1
Request Submitted 05 Mar 2025,REQUEST SUBMITTED 05 MAR 2025,REQUEST SUBMITTED 05 MAR 2025,1
TRASH,TRASH,TRASH,1
Action Trucking,ACTION TRUCKING,ACTION TRUCKING,1
A-1 Transfer,A-1 TRANSFER,A 1 TRANSFER,1
"A-1 Transfer & Recycling, Inc","A-1 TRANSFER & RECYCLING, INC",A 1 TRANSFER RECYCLING,1
"A-1 Transfer & Recycling, Inc.","A-1 TRANSFER & RECYCLING, INC.",A 1 TRANSFER RECYCLING,1
Mercadoe,MERCADOE,MERCADOE,1
"Portables, Inc.","PORTABLES, INC.",PORTABLES,1
Smurfit,SMURFIT,SMURFIT,1
ANYTIMEWASTE SYSTEMS,ANYTIMEWASTE SYSTEMS,ANYTIMEWASTE SYSTEMS,1
"WASTE MANAGEMENT OF KENTUCKY, LLC","WASTE MANAGEMENT OF KENTUCKY, LLC",WASTE MANAGEMENT OF KENTUCKY,1
Waste Managment,WASTE MANAGMENT,WASTE MANAGMENT,1
"WASTE MANAGEMENT OF ALAMEDA COUNTY, INC.","WASTE MANAGEMENT OF ALAMEDA COUNTY, INC.",WASTE MANAGEMENT OF ALAMEDA COUNTY,1
Marin Resource,MARIN RESOURCE,MARIN RESOURCE,1
VASCO ROAD LANDFILL,VASCO ROAD LANDFILL,VASCO ROAD LANDFILL,1
VASCO ROAD LANDFILL - 3850,VASCO ROAD LANDFILL - 3850,VASCO ROAD LANDFILL 3850,1
"GEORGIA WASTE SYSTEMS, LLC","GEORGIA WASTE SYSTEMS, LLC",GEORGIA WASTE SYSTEMS,1
"ILLINOIS, INC.","ILLINOIS, INC.",ILLINOIS,1
"WASTE MANAGEMENT OF ILLINOIS, INC.","WASTE MANAGEMENT OF ILLINOIS, INC.",WASTE MANAGEMENT OF ILLINOIS,1
WASTEOLOGY JU,WASTEOLOGY JU,WASTEOLOGY JU,1
EAST OAK LANDFILL,EAST OAK LANDFILL,EAST OAK LANDFILL,1
QUARRY LANDFILL,QUARRY LANDFILL,QUARRY LANDFILL,1
County Hauling/ Noble Environmental,COUNTY HAULING/ NOBLE ENVIRONMENTAL,COUNTY HAULING NOBLE ENVIRONMENTAL,1
Western Dispsoal,WESTERN DISPSOAL,WESTERN DISPSOAL,1
Scott Solid Waste - TN A Waste Connections Company,SCOTT SOLID WASTE - TN A WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE TN A WASTE CONNECTIONS COMPANY,1
SCOTT SOLID WASTE - TN,SCOTT SOLID WASTE - TN,SCOTT SOLID WASTE TN,1
SCOTT SOLID WASTE - TN\nA WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE - TN\NA WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE TN NA WASTE CONNECTIONS COMPANY,1
SCOTT SOLID WASTE-TN A WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE-TN A WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE TN A WASTE CONNECTIONS COMPANY,1
SCOTT SOLID WASTE - TN A WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE - TN A WASTE CONNECTIONS COMPANY,SCOTT SOLID WASTE TN A WASTE CONNECTIONS COMPANY,1
WASTE CONNECTIONS OF PENNSYLVANIA\nCHAMBERSBURG HAULING,WASTE CONNECTIONS OF PENNSYLVANIA\NCHAMBERSBURG HAULING,WASTE CONNECTIONS OF PENNSYLVANIA NCHAMBERSBURG HAULING,1
NEIDERER,NEIDERER,NEIDERER,1
BLOSENSKI INC.,BLOSENSKI INC.,BLOSENSKI,1
OLATHE CUSTOMER ID KANSAS,OLATHE CUSTOMER ID KANSAS,OLATHE CUSTOMER ID KANSAS,1
OLATHE KANSAS,OLATHE KANSAS,OLATHE KANSAS,1
OLATHE,OLATHE,OLATHE,1
OLATHE\nKANSAS,OLATHE\NKANSAS,OLATHE NKANSAS,1
CITY OF COLBY,CITY OF COLBY,CITY OF COLBY,1
NORTHEND DISPOSAL\nA WASTE CONNECTIONS COMPANY,NORTHEND DISPOSAL\NA WASTE CONNECTIONS COMPANY,NORTHEND DISPOSAL NA WASTE CONNECTIONS COMPANY,1
LCI SERVICES DUMPSTER RENTALS,LCI SERVICES DUMPSTER RENTALS,LCI SERVICES DUMPSTER RENTALS,1
City of Emporium,CITY OF EMPORIUM,CITY OF EMPORIUM,1
Gardner Dis,GARDNER DIS,GARDNER DIS,1
Gardner Disposal Service,GARDNER DISPOSAL SERVICE,GARDNER DISPOSAL SERVICE,1
Gardner,GARDNER,GARDNER,1
"CARDS CARDS KS HAYS LLC PO BOX 775 TONTITOWN, AR 72770 (877) 592-2737","CARDS CARDS KS HAYS LLC PO BOX 775 TONTITOWN, AR 72770 (877) 592-2737",CARDS CARDS KS HAYS PO BOX 775 TONTITOWN AR 72770 877 592 2737,1
"CARDS\nCARDS KS HAYS LLC\nPO BOX 775\nTONTITOWN, AR 72770\n(877) 592-2737","CARDS\NCARDS KS HAYS LLC\NPO BOX 775\NTONTITOWN, AR 72770\N(877) 592-2737",CARDS NCARDS KS HAYS NPO BOX 775 NTONTITOWN AR 72770 N 877 592 2737,1
12th & Haskell Recycle,12TH & HASKELL RECYCLE,12TH HASKELL RECYCLE,1
"'s Refuse Disposal, Inc.","'S REFUSE DISPOSAL, INC.",S REFUSE DISPOSAL,1
R & R Midwest Services,R & R MIDWEST SERVICES,R R MIDWEST SERVICES,1
Wiley's Refuse,WILEY'S REFUSE,WILEY S REFUSE,1
Wiley's Refuse Disposal,WILEY'S REFUSE DISPOSAL,WILEY S REFUSE DISPOSAL,1
"Willey Disposal, Inc.","WILLEY DISPOSAL, INC.",WILLEY DISPOSAL,1
Willey's Refuse,WILLEY'S REFUSE,WILLEY S REFUSE,1
A Green Environmental Services Company,A GREEN ENVIRONMENTAL SERVICES COMPANY,A GREEN ENVIRONMENTAL SERVICES COMPANY,1
SANITATION SERVICES,SANITATION SERVICES,SANITATION SERVICES,1
Joplin Hauling,JOPLIN HAULING,JOPLIN HAULING,1
MID* America,MID* AMERICA,MID AMERICA,1
CASELLA WASTE SERVICES,CASELLA WASTE SERVICES,CASELLA WASTE SERVICES,1
LEX City services,LEX CITY SERVICES,LEX CITY SERVICES,1
Lex Serv,LEX SERV,LEX SERV,1
City Salvage &,CITY SALVAGE &,CITY SALVAGE,1
Madisonville Sanitation Department,MADISONVILLE SANITATION DEPARTMENT,MADISONVILLE SANITATION DEPARTMENT,1
RMR Consolidated,RMR CONSOLIDATED,RMR CONSOLIDATED,1
MADDOGG,MADDOGG,MADDOGG,1
Lexington Computer\nRecycling LLC,LEXINGTON COMPUTER\NRECYCLING LLC,LEXINGTON COMPUTER NRECYCLING,1
SMITH CREEK™ UNITED STATES,SMITH CREEK™ UNITED STATES,SMITH CREEK UNITED STATES,1
WASTE COLLECTION\nSERVICES,WASTE COLLECTION\NSERVICES,WASTE COLLECTION NSERVICES,1
BEST WAY DISPOSAL,BEST WAY DISPOSAL,BEST WAY DISPOSAL,1
PLUFF MUD RECYCLING LLC,PLUFF MUD RECYCLING LLC,PLUFF MUD RECYCLING,1
Brandon Indura,BRANDON INDURA,BRANDON INDURA,1
Anytine,ANYTINE,ANYTINE,1
"DUMPSTER SERVICE, LLC","DUMPSTER SERVICE, LLC",DUMPSTER SERVICE,1
M Smurfit Westrock,M SMURFIT WESTROCK,M SMURFIT WESTROCK,1
Coastal Environmental Services of\nLA LLC,COASTAL ENVIRONMENTAL SERVICES OF\NLA LLC,COASTAL ENVIRONMENTAL SERVICES OF NLA,1
STRANCO SOLID WASTE MGMT CO LLC,STRANCO SOLID WASTE MGMT CO LLC,STRANCO SOLID WASTE MGMT,1
SOLID WASTE MGMTCO. LLC,SOLID WASTE MGMTCO. LLC,SOLID WASTE MGMTCO,1
"RIVER\nPARISH\nRIVER PARISH DISPOSAL, LLC","RIVER\NPARISH\NRIVER PARISH DISPOSAL, LLC",RIVER NPARISH NRIVER PARISH DISPOSAL,1
"Parish Disposal Industries, LLC","PARISH DISPOSAL INDUSTRIES, LLC",PARISH DISPOSAL INDUSTRIES,1
DE\nDISPOSAL COMPANY,DE\NDISPOSAL COMPANY,DE NDISPOSAL COMPANY,1
P*R*IDE,P*R*IDE,P R IDE,1
Pride Dispsoal,PRIDE DISPSOAL,PRIDE DISPSOAL,1
PR+ID E,PR+ID E,PR ID E,1
Prride Disposal,PRRIDE DISPOSAL,PRRIDE DISPOSAL,1
IRON\nMOUNTAIN,IRON\NMOUNTAIN,IRON NMOUNTAIN,1
Livermore\nSanitation,LIVERMORE\NSANITATION,LIVERMORE NSANITATION,1
RID OF IT WASTE CORP.,RID OF IT WASTE CORP.,RID OF IT WASTE,1
Dillon Disposal LLC,DILLON DISPOSAL LLC,DILLON DISPOSAL,1
Conilgilaro Industries Inc.,CONILGILARO INDUSTRIES INC.,CONILGILARO INDUSTRIES,1
Lawrence Waste Service,LAWRENCE WASTE SERVICE,LAWRENCE WASTE SERVICE,1
"MARKWELL MANUFACTURING CO., INC","MARKWELL MANUFACTURING CO., INC",MARKWELL MANUFACTURING,1
LEXINGTON-Fayette urban county goverment,LEXINGTON-FAYETTE URBAN COUNTY GOVERMENT,LEXINGTON FAYETTE URBAN COUNTY GOVERMENT,1
LexServ,LEXSERV,LEXSERV,1
PAK ? RIT,PAK ? RIT,PAK RIT,1
"Waste Connections Lone Star, Inc.","WASTE CONNECTIONS LONE STAR, INC.",WASTE CONNECTIONS LONE STAR,1
Johnson County Refuse,JOHNSON COUNTY REFUSE,JOHNSON COUNTY REFUSE,1
Top of the Line Disposal,TOP OF THE LINE DISPOSAL,TOP OF THE LINE DISPOSAL,1
Top of the Line Dumpsters,TOP OF THE LINE DUMPSTERS,TOP OF THE LINE DUMPSTERS,1
WASTE CONNECTIONS OF FLORIDA\nPASCO HAULING,WASTE CONNECTIONS OF FLORIDA\NPASCO HAULING,WASTE CONNECTIONS OF FLORIDA NPASCO HAULING,1
We Talk Trash Dumpsters,WE TALK TRASH DUMPSTERS,WE TALK TRASH DUMPSTERS,1
"WASTE MANAGEMENT OF KENTUCKY, LLC.","WASTE MANAGEMENT OF KENTUCKY, LLC.",WASTE MANAGEMENT OF KENTUCKY,1
"WASTE MGMT OF KENTUCKY HOLDINGS, INC.","WASTE MGMT OF KENTUCKY HOLDINGS, INC.",WASTE MGMT OF KENTUCKY HOLDINGS,1
"TRUCKING,","TRUCKING,",TRUCKING,1
DILLON DISPOSAL,DILLON DISPOSAL,DILLON DISPOSAL,1
CAVOSSA\nDISPOSAL CORPORATION,CAVOSSA\NDISPOSAL CORPORATION,CAVOSSA NDISPOSAL CORPORATION,1
ELB Learning,ELB LEARNING,ELB LEARNING,1
Resource Solutions Energy&Environmental,RESOURCE SOLUTIONS ENERGY&ENVIRONMENTAL,RESOURCE SOLUTIONS ENERGY ENVIRONMENTAL,1
Hiltz Disposal,HILTZ DISPOSAL,HILTZ DISPOSAL,1
Cavoss,CAVOSS,CAVOSS,1
UPS LOCATIONS / WASTEOLOGY,UPS LOCATIONS / WASTEOLOGY,UPS LOCATIONS WASTEOLOGY,1
Waste Equipment Rentals & Sales,WASTE EQUIPMENT RENTALS & SALES,WASTE EQUIPMENT RENTALS SALES,1
P & M Reis Truck,P & M REIS TRUCK,P M REIS TRUCK,1
LawrenceWasteServices,LAWRENCEWASTESERVICES,LAWRENCEWASTESERVICES,1
QUnited Rentals,QUNITED RENTALS,QUNITED RENTALS,1
Unite Rentals,UNITE RENTALS,UNITE RENTALS,1
"UNITED RENTALS (NORTH AMERICA), INC.","UNITED RENTALS (NORTH AMERICA), INC.",UNITED RENTALS NORTH AMERICA,1
NAUSET,NAUSET,NAUSET,1
K-T&WN DISPOSAL,K-T&WN DISPOSAL,K T WN DISPOSAL,1
"& Co., Inc.","& CO., INC.",,1
"., Inc.","., INC.",,1
3 Jed Days Landing,3 JED DAYS LANDING,3 JED DAYS LANDING,1
"Co., Inc.","CO., INC.",,1
"F Sullivan & Co., Inc.","F SULLIVAN & CO., INC.",F SULLIVAN,1
"Sullivan & Co., Inc.","SULLIVAN & CO., INC.",SULLIVAN,1
William F Sullivan,WILLIAM F SULLIVAN,WILLIAM F SULLIVAN,1
William F Sullivan & Co,WILLIAM F SULLIVAN & CO,WILLIAM F SULLIVAN,1
"William F Sullivan & Co., Inc.","WILLIAM F SULLIVAN & CO., INC.",WILLIAM F SULLIVAN,1
"MAULDIN TRASH,","MAULDIN TRASH,",MAULDIN TRASH,1
Cavossa Disposal Corp,CAVOSSA DISPOSAL CORP,CAVOSSA DISPOSAL,1
DISPOSAL CORPORATION,DISPOSAL CORPORATION,DISPOSAL CORPORATION,1
CR&R\nenvironmental services,CR&R\NENVIRONMENTAL SERVICES,CR R NENVIRONMENTAL SERVICES,1
GREEN PLANET,GREEN PLANET,GREEN PLANET,1
WASTE PRO\nCaring,WASTE PRO\NCARING,WASTE PRO NCARING,1
HOMEWOOD,HOMEWOOD,HOMEWOOD,1
D. Crescio,D. CRESCIO,D CRESCIO,1
"L Mora Trash Hauling, LLC","L MORA TRASH HAULING, LLC",L MORA TRASH HAULING,1
Transaction Recei,TRANSACTION RECEI,TRANSACTION RECEI,1
VentraOps,VENTRAOPS,VENTRAOPS,1
Waste Pro - 607,WASTE PRO - 607,WASTE PRO 607,1
Allied Recycling,ALLIED RECYCLING,ALLIED RECYCLING,1
SERVICES\nest. '99,SERVICES\NEST. '99,SERVICES NEST 99,1
EAGLE EQUIPMENT CORPORATION\nSpecialists in equipment for the waste disposal industry,EAGLE EQUIPMENT CORPORATION\NSPECIALISTS IN EQUIPMENT FOR THE WASTE DISPOSAL INDUSTRY,EAGLE EQUIPMENT CORPORATION NSPECIALISTS IN EQUIPMENT FOR THE WASTE DISPOSAL INDUSTRY,1
ROCKY MOUNTAIN RECYCLING SERVICES LLC,ROCKY MOUNTAIN RECYCLING SERVICES LLC,ROCKY MOUNTAIN RECYCLING SERVICES,1
C & L Junk,C & L JUNK,C L JUNK,1
Hydraulic Equipment,HYDRAULIC EQUIPMENT,HYDRAULIC EQUIPMENT,1
Hydraulic Equipment Service,HYDRAULIC EQUIPMENT SERVICE,HYDRAULIC EQUIPMENT SERVICE,1
HYDRAULIC EQUIPMENT Service Company,HYDRAULIC EQUIPMENT SERVICE COMPANY,HYDRAULIC EQUIPMENT SERVICE COMPANY,1
HYDRAULIC\nEQUIPMENT,HYDRAULIC\NEQUIPMENT,HYDRAULIC NEQUIPMENT,1
Emergency Sanitation Deployment LLC DBA,EMERGENCY SANITATION DEPLOYMENT LLC DBA,EMERGENCY SANITATION DEPLOYMENT DBA,1
Fogle's AREA REFUSE,FOGLE'S AREA REFUSE,FOGLE S AREA REFUSE,1
"ENTERPRISES, INC.","ENTERPRISES, INC.",ENTERPRISES,1
"S, INC.","S, INC.",S,1
CANCELLATION INTEREST,CANCELLATION INTEREST,CANCELLATION INTEREST,1
DETROIT WEST HAULING,DETROIT WEST HAULING,DETROIT WEST HAULING,1
"WASTE MANAGEMENT OF MICHIGAN, INC.","WASTE MANAGEMENT OF MICHIGAN, INC.",WASTE MANAGEMENT OF MICHIGAN,1
Arrowate,ARROWATE,ARROWATE,1
Information DELTA DISPOSAL,INFORMATION DELTA DISPOSAL,INFORMATION DELTA DISPOSAL,1
Information\nDELTA DISPOSAL,INFORMATION\NDELTA DISPOSAL,INFORMATION NDELTA DISPOSAL,1
BEYOND Rew RX,BEYOND REW RX,BEYOND REW RX,1
GRAND,GRAND,GRAND,1
Grand Rapids Iron,GRAND RAPIDS IRON,GRAND RAPIDS IRON,1
LP Padnos Transport,LP PADNOS TRANSPORT,LP PADNOS TRANSPORT,1
"DETROIT Detroit Disposal & DISPOSAL Recycling, LLC","DETROIT DETROIT DISPOSAL & DISPOSAL RECYCLING, LLC",DETROIT DETROIT DISPOSAL DISPOSAL RECYCLING,1
American\nFiber Services,AMERICAN\NFIBER SERVICES,AMERICAN NFIBER SERVICES,1
LS Logistics Management,LS LOGISTICS MANAGEMENT,LS LOGISTICS MANAGEMENT,1
Milo's,MILO'S,MILO S,1
MILOS.,MILOS.,MILOS,1
"Organix\nOrganix Recycling, LLC","ORGANIX\NORGANIX RECYCLING, LLC",ORGANIX NORGANIX RECYCLING,1
VLS ENVIRONMENTAL,VLS ENVIRONMENTAL,VLS ENVIRONMENTAL,1
VLS ENFIRONMENTAL SOLUTIONS,VLS ENFIRONMENTAL SOLUTIONS,VLS ENFIRONMENTAL SOLUTIONS,1
VLS Environmental,VLS ENVIRONMENTAL,VLS ENVIRONMENTAL,1
"Waste Reduction Sys., LLC","WASTE REDUCTION SYS., LLC",WASTE REDUCTION SYS,1
EMTERRA Environmental USA,EMTERRA ENVIRONMENTAL USA,EMTERRA ENVIRONMENTAL USA,1
"EVE'S SANITATION, INC.","EVE'S SANITATION, INC.",EVE S SANITATION,1
Minnkota,MINNKOTA,MINNKOTA,1
Roll-Off RED,ROLL-OFF RED,ROLL OFF RED,1
CITY OF FERGUS FALLS PUBLIC UTILITIES DEPARTMENT,CITY OF FERGUS FALLS PUBLIC UTILITIES DEPARTMENT,CITY OF FERGUS FALLS PUBLIC UTILITIES DEPARTMENT,1
City of Fergus Falls Utility Department,CITY OF FERGUS FALLS UTILITY DEPARTMENT,CITY OF FERGUS FALLS UTILITY DEPARTMENT,1
FERGUS,FERGUS,FERGUS,1
"Environmental Service, Inc.","ENVIRONMENTAL SERVICE, INC.",ENVIRONMENTAL SERVICE,1
TSON & SONS DISPOSAL,TSON & SONS DISPOSAL,TSON SONS DISPOSAL,1
& SONS DISPOSAL,& SONS DISPOSAL,SONS DISPOSAL,1
ENGEBRETSON & SONS DISPOSAL,ENGEBRETSON & SONS DISPOSAL,ENGEBRETSON SONS DISPOSAL,1
Engebretson,ENGEBRETSON,ENGEBRETSON,1
